epoch,train_loss,train_error,valid_loss,valid_error,test_error
062,0.136523,0.033864,3.31424,0.57356,
063,0.138870,0.034714,3.15390,0.57371,
063,0.139691,0.035381,3.15390,0.57371,
063,0.136327,0.034025,3.15390,0.57371,
063,0.138059,0.033220,3.15390,0.57371,
064,0.140720,0.035588,3.44038,0.58562,
064,0.140786,0.035749,3.44038,0.58562,
064,0.142167,0.037036,3.44038,0.58562,
064,0.138165,0.035059,3.44038,0.58562,
065,0.142691,0.037496,3.21614,0.57336,
065,0.138520,0.035634,3.21614,0.57336,
065,0.143081,0.037036,3.21614,0.57336,
065,0.141025,0.036990,3.21614,0.57336,
066,0.144936,0.038186,3.49552,0.59312,
066,0.142912,0.037059,3.49552,0.59312,
066,0.143580,0.037266,3.49552,0.59312,
066,0.143549,0.036576,3.49552,0.59312,
067,0.143278,0.037749,3.40422,0.58597,
067,0.146257,0.038232,3.40422,0.58597,
067,0.148318,0.040094,3.40422,0.58597,
067,0.146664,0.038622,3.40422,0.58597,
068,0.148028,0.039404,3.47391,0.59426,
068,0.152624,0.040416,3.47391,0.59426,
068,0.147677,0.039404,3.47391,0.59426,
068,0.150865,0.040140,3.47391,0.59426,
069,0.150949,0.039749,3.42465,0.58726,
069,0.150002,0.039128,3.42465,0.58726,
069,0.152684,0.039795,3.42465,0.58726,
069,0.146505,0.038393,3.42465,0.58726,
070,0.154704,0.041496,3.46415,0.59203,
070,0.156382,0.041818,3.46415,0.59203,
070,0.151251,0.040531,3.46415,0.59203,
070,0.157058,0.042646,3.46415,0.59203,
071,0.157838,0.043611,3.44416,0.59699,
071,0.156380,0.042370,3.44416,0.59699,
071,0.155448,0.041956,3.44416,0.59699,
071,0.155865,0.041887,3.44416,0.59699,
072,0.160777,0.044025,3.45142,0.58637,
072,0.155234,0.041841,3.45142,0.58637,
072,0.158103,0.043289,3.45142,0.58637,
072,0.160780,0.044945,3.45142,0.58637,
073,0.158036,0.042462,3.81371,0.60340,
073,0.157765,0.042301,3.81371,0.60340,
073,0.159941,0.043312,3.81371,0.60340,
073,0.162487,0.044876,3.81371,0.60340,
074,0.158470,0.043749,3.83067,0.60489,
074,0.156560,0.042117,3.83067,0.60489,
074,0.158980,0.042784,3.83067,0.60489,
074,0.161970,0.043565,3.83067,0.60489,
075,0.162552,0.044531,3.76219,0.61407,
075,0.160395,0.042876,3.76219,0.61407,
075,0.156489,0.041933,3.76219,0.61407,
075,0.157485,0.042232,3.76219,0.61407,
076,0.070198,0.013610,3.00709,0.53289,
076,0.071719,0.014736,3.00709,0.53289,
076,0.071085,0.014024,3.00709,0.53289,
076,0.071521,0.014116,3.00709,0.53289,
077,0.052602,0.008322,3.01855,0.53130,
077,0.051502,0.008138,3.01855,0.53130,
077,0.052432,0.008437,3.01855,0.53130,
077,0.052085,0.008598,3.01855,0.53130,
078,0.046933,0.006966,3.03149,0.53101,
