epoch,train_loss,train_error,valid_loss,valid_error,test_error
026,0.474788,0.128441,6.36067,0.83520,
026,0.483135,0.130657,6.36067,0.83520,
026,0.481551,0.129918,6.36067,0.83520,
026,0.479671,0.130247,6.36067,0.83520,
027,0.478647,0.130507,5.45680,0.81608,
027,0.468160,0.126814,5.45680,0.81608,
027,0.477254,0.129269,5.45680,0.81608,
027,0.479020,0.128690,5.45680,0.81608,
028,0.479031,0.129828,5.40862,0.81169,
028,0.463505,0.126115,5.40862,0.81169,
028,0.475007,0.128650,5.40862,0.81169,
028,0.478602,0.129768,5.40862,0.81169,
029,0.468422,0.127543,7.88008,0.86465,
029,0.475961,0.129199,7.88008,0.86465,
029,0.468058,0.126485,7.88008,0.86465,
029,0.474627,0.128261,7.88008,0.86465,
030,0.472686,0.128261,5.71479,0.85542,
030,0.475467,0.128870,5.71479,0.85542,
030,0.462506,0.125716,5.71479,0.85542,
030,0.467833,0.126644,5.71479,0.85542,
031,0.463338,0.126016,5.21425,0.82927,
031,0.473893,0.128950,5.21425,0.82927,
031,0.469807,0.127592,5.21425,0.82927,
031,0.471453,0.127972,5.21425,0.82927,
032,0.464622,0.126175,5.95246,0.85827,
032,0.461495,0.125307,5.95246,0.85827,
032,0.467828,0.126864,5.95246,0.85827,
032,0.471898,0.127722,5.95246,0.85827,
033,0.469996,0.128121,5.74535,0.80180,
033,0.467688,0.127203,5.74535,0.80180,
033,0.463381,0.125596,5.74535,0.80180,
033,0.454487,0.122642,5.74535,0.80180,
034,0.460854,0.125716,6.39984,0.85212,
034,0.461377,0.125157,6.39984,0.85212,
034,0.467050,0.127034,6.39984,0.85212,
034,0.468523,0.127463,6.39984,0.85212,
035,0.466751,0.126405,5.26692,0.78225,
